art_nr|art_uvp
BGS10940|18,32
BGS10941|41,40
BGS10941|41,40
BGS10942|90,56
BGS10943|68,31
BGS10943|68,31
BGS10944|68,31
BGS10944|68,31
BGS10945|72,45
BGS10946|26,13
BGS10947|30,02
BGS10947|30,02
BGS10948|25,88
BGS10949|45,54
BGS10949|45,54
BGS10950|27,43
BGS10950|27,43
BGS10951|24,84
BGS10951|24,84
BGS10952|25,88
BGS10953|28,98
BGS10954|19,15
BGS10955|21,22
BGS10956|30,02
BGS10957|34,98
BGS10958|20,70
BGS10959|19,67
BGS10960|30,02
BGS10960|16,04
BGS10961|24,32
BGS10961|24,32
BGS10962|21,74
BGS10962|21,74
BGS10963|63,14
BGS10963|63,14
BGS10964|46,58
BGS10965|28,46
BGS10966|113,85
BGS10967|28,46
BGS10967|28,46
BGS10967|28,46
BGS10968|23,29
BGS10968|23,29
BGS10969|22,25
BGS10969|22,25
BGS10970|24,84
BGS10970|24,84
BGS10971|30,53
BGS10972|31,05
BGS10973|23,29
BGS10974|22,77
BGS10974|22,77
BGS10975|49,16
BGS10975|49,16
BGS10975|49,16
BGS10975|49,16
BGS10976|25,88
BGS10976|25,88
BGS10977|21,22
BGS10977|21,22
BGS10978|29,31
BGS10978|29,31
BGS10979|19,15
BGS10979|19,15
BGS10980|24,32
BGS10981|28,46
BGS10981|28,46
BGS10982|56,93
BGS10982|56,93
BGS10983|24,32
BGS10984|24,32
BGS10984|24,32
BGS10985|22,77
BGS10985|22,77
BGS10986|21,74
BGS10987|24,32
BGS10987|24,32
BGS10988|25,36
BGS10988|25,36
BGS10988|25,36
BGS10989|26,81
BGS10989|26,81
BGS10990|30,02
BGS10991|25,36
BGS10992|31,05
BGS10993|31,05
BGS10994|31,05
BGS10995|25,36
BGS10996|23,29
